,'caller_id','assigned_to','assignment_group','u_symptom','sys_updated_by','incident_state','subcategory','category','active','u_priority_confirmation','sys_created_by','opened_by','location','made_sla','knowledge','priority','complTime'
187,4558,108,65,407,229,8,64,15,2,1,172,36,181,2,2,3,144.95
189,4558,108,24,407,647,9,64,15,2,1,172,36,181,2,2,3,144.95
193,2170,1,47,353,728,9,166,46,2,1,87,124,61,2,2,3,173.916666666667
202,2158,169,65,515,156,8,38,29,2,1,156,16,176,2,2,3,584.883333333333
211,2158,169,65,515,153,2,38,29,2,1,156,16,176,2,2,3,584.883333333333
215,2158,169,16,515,388,5,38,29,2,1,156,16,176,2,2,3,584.883333333333
217,2158,169,16,515,31,9,38,29,2,1,156,16,176,2,2,3,584.883333333333
223,3496,1,47,1,728,9,94,46,2,1,172,36,9,2,2,3,173.883333333333
231,4321,108,24,18,763,7,68,46,1,2,172,36,181,1,2,2,146.866666666667
232,2034,1,65,1,229,8,122,37,2,1,172,36,219,2,2,3,122.833333333333
240,4692,1,47,353,734,2,166,46,2,1,87,124,9,2,2,3,173.783333333333
244,3447,1,47,353,229,8,34,46,2,1,172,36,219,2,2,3,173.766666666667
245,3447,1,47,353,336,8,34,46,2,1,172,36,219,2,2,3,173.766666666667
250,4351,123,16,515,108,8,38,29,2,1,156,16,219,2,2,3,174.75
253,4351,123,16,515,763,7,38,29,1,1,156,16,219,2,2,3,174.75
256,696,135,18,1,721,2,129,48,2,1,25,62,106,2,2,3,178.7
260,3674,1,47,1,336,8,94,46,2,1,1,36,61,2,2,3,184.7
264,3674,1,65,1,606,5,94,46,2,1,1,36,61,2,2,3,184.7
268,4643,225,65,489,156,8,64,59,2,1,156,16,61,2,2,3,143.666666666667
269,4643,225,56,489,606,8,64,59,2,1,156,16,61,2,2,3,143.666666666667
273,4643,225,17,489,763,7,64,59,1,1,156,16,61,2,2,3,143.666666666667
275,514,1,40,407,226,8,38,29,2,1,172,36,9,2,2,3,147.666666666667
278,2956,225,17,354,229,8,64,59,2,1,172,36,61,2,2,3,144.633333333333
287,2201,1,15,116,652,8,10,37,2,1,25,62,174,2,2,3,151.55
292,3551,1,47,353,728,9,94,46,2,1,172,36,9,2,2,3,173.516666666667
294,4045,64,27,353,734,2,166,46,2,1,87,124,9,2,2,3,122.5
295,4045,64,27,353,484,2,166,46,2,1,87,124,9,2,2,3,122.5
296,4045,64,27,353,484,9,166,46,2,1,87,124,9,2,2,3,122.5
298,567,76,65,489,156,8,64,59,2,1,156,16,9,2,2,3,143.483333333333
301,567,76,20,489,736,2,64,59,2,1,156,16,9,2,2,3,143.483333333333
304,567,76,20,489,763,7,64,59,1,2,156,16,9,2,2,3,143.483333333333
305,2863,1,47,353,229,8,30,46,2,1,172,36,44,2,2,3,173.483333333333
309,3658,235,4,283,156,8,219,36,2,1,156,16,165,2,2,3,584.233333333333
316,4488,163,65,283,229,8,235,14,2,1,172,36,133,2,2,3,651.316666666667
317,4488,163,65,283,469,5,235,14,2,1,172,36,133,2,2,3,651.316666666667
327,4488,163,17,283,845,9,235,14,2,2,172,36,37,2,2,3,651.316666666667
332,2227,103,68,353,412,2,64,54,2,1,172,190,106,2,2,3,193.316666666667
337,2873,80,60,460,659,9,120,37,2,1,156,135,52,2,2,3,192.316666666667
338,2873,80,60,460,763,7,120,37,1,1,156,135,52,2,2,3,192.316666666667
339,3074,40,65,460,156,8,64,59,2,1,156,16,106,2,2,3,198.3
347,1536,103,68,460,615,2,92,55,2,1,156,167,106,2,2,4,191.266666666667
350,4478,124,65,353,521,2,166,46,2,1,156,124,106,2,2,3,127.25
351,4478,124,65,353,229,2,166,46,2,1,156,124,106,2,2,3,127.25
355,4478,124,65,353,30,9,166,46,2,1,156,124,106,2,2,3,127.25
356,4478,124,65,353,675,9,166,46,2,1,156,124,106,2,2,3,127.25
363,2376,1,65,283,156,8,196,46,2,1,156,16,106,2,2,3,144.166666666667
366,2376,1,47,283,728,9,196,46,2,1,156,16,106,2,2,3,144.166666666667
370,2981,231,65,387,229,2,64,59,2,1,172,36,206,2,2,3,194.15
388,5166,29,18,353,345,9,166,46,2,1,87,124,79,2,2,3,455
392,3400,1,47,353,728,9,30,46,2,1,103,167,219,2,2,3,174
396,3453,1,47,353,728,9,30,46,2,1,126,190,44,2,2,3,173.983333333333
398,956,108,24,283,229,8,68,46,2,1,172,36,181,2,2,3,191.866666666667
407,1857,1,47,1,229,8,94,46,2,1,172,36,71,2,2,3,173.8
411,1892,1,47,353,770,8,30,46,2,1,103,167,219,2,2,3,173.766666666667
416,1348,1,47,353,728,9,30,46,2,1,24,87,186,2,2,3,173.716666666667
420,3039,1,21,450,229,8,64,15,2,1,172,36,45,2,2,3,168.716666666667
427,2095,169,65,407,229,8,38,29,2,1,172,36,185,2,2,3,583.366666666667
428,2095,169,65,407,229,8,38,29,2,1,172,36,185,2,2,2,583.366666666667
439,2327,1,65,353,659,2,17,46,2,1,25,16,128,2,2,3,196.7
443,2327,1,65,353,763,7,17,46,1,1,25,16,128,2,2,3,196.7
459,2095,1,65,356,229,8,64,15,2,1,1,36,185,2,2,2,583.433333333333
463,2095,1,22,356,610,5,64,15,2,1,1,36,185,2,2,2,583.433333333333
469,2095,1,1,356,446,5,64,15,2,1,1,36,185,2,2,2,583.433333333333
476,2204,231,65,1,229,2,235,14,2,1,172,36,128,2,2,3,128.4
480,2204,94,13,1,596,9,235,14,2,1,172,36,128,2,2,3,128.4
493,3537,1,47,460,606,8,248,24,2,1,156,16,181,2,2,3,50.3833333333333
497,5018,1,47,353,770,8,30,46,2,1,103,167,219,2,2,3,173.333333333333
498,5018,1,47,353,728,9,30,46,2,1,103,167,219,2,2,3,173.333333333333
502,258,1,65,487,469,9,6,11,2,1,1,36,184,2,2,3,121.25
505,2743,145,21,353,783,9,166,46,2,1,87,124,45,2,2,3,167.233333333333
509,622,1,65,283,763,7,102,37,1,1,1,16,45,2,2,3,121.033333333333
512,476,1,39,20,30,2,38,29,2,1,126,190,106,2,2,3,150.016666666667
515,476,219,39,20,763,7,38,29,1,1,126,190,106,2,2,3,150.016666666667
516,3445,1,65,283,763,8,123,34,2,1,1,36,219,2,2,3,121.016666666667
552,919,1,16,353,135,9,68,46,2,1,103,167,219,2,2,4,125.783333333333
553,919,1,16,353,135,9,68,46,2,1,103,167,219,2,2,4,125.783333333333
557,2882,1,65,123,13,8,64,59,2,1,1,16,106,2,2,3,129.683333333333
559,2882,164,65,123,763,7,64,59,1,1,1,16,106,2,2,3,129.683333333333
560,5035,231,65,1,763,2,191,14,2,1,1,36,219,2,2,3,187.616666666667
565,2558,1,65,353,763,2,166,46,2,1,1,124,100,2,2,3,121.583333333333
571,1255,169,22,1,31,8,26,29,2,1,24,87,185,2,2,3,581.866666666667
574,1255,169,22,1,31,9,26,29,2,1,24,87,185,2,2,3,581.866666666667
577,1013,1,16,1,610,8,64,59,2,1,172,36,219,2,2,3,122.116666666667
583,2435,207,65,353,734,2,166,46,2,1,87,124,170,2,2,3,411.516666666667
591,1363,50,69,364,429,2,59,54,2,1,1,16,45,2,2,3,171.033333333333
599,2435,81,43,353,521,5,166,46,2,1,87,124,170,2,2,3,188.983333333333
601,2435,81,43,353,521,5,166,46,2,1,87,124,170,2,2,3,188.983333333333
605,1014,76,20,1,736,8,76,17,2,1,24,87,198,2,2,3,124.816666666667
608,5157,64,28,480,25,8,165,48,2,1,123,186,61,2,2,3,581.433333333333
614,5157,64,27,480,484,4,165,48,2,1,123,186,61,2,2,3,581.433333333333
615,5157,64,27,480,484,2,165,48,2,1,123,186,61,2,2,3,581.433333333333
620,2120,1,65,353,492,8,102,37,2,1,1,167,45,2,2,4,581.5
621,2120,1,65,353,30,8,102,37,2,1,1,167,45,2,2,4,581.5
622,2120,1,65,353,589,8,102,37,2,1,1,167,45,2,2,4,581.5
631,2744,1,65,353,763,8,122,37,2,1,1,16,9,2,2,3,121.566666666667
637,1098,171,65,353,30,9,102,37,2,1,1,190,9,2,2,3,146.55
643,4775,1,20,472,226,5,6,11,2,1,25,62,9,2,2,3,215.316666666667
645,4775,172,20,472,32,2,6,11,2,1,25,62,9,2,2,3,215.316666666667
649,716,1,47,1,631,8,248,24,2,1,1,87,61,2,2,3,581.116666666667
650,716,1,47,1,728,8,248,24,2,1,1,87,61,2,2,3,581.116666666667
653,716,1,47,1,336,2,248,24,2,1,1,87,61,2,2,3,581.116666666667
665,4,1,18,1,25,8,76,17,2,1,123,186,45,2,2,3,165.283333333333
682,4323,76,20,460,736,2,64,59,2,1,126,190,9,2,2,3,166.166666666667
683,4323,76,20,460,736,2,64,59,2,1,126,190,9,2,2,3,166.166666666667
684,4323,76,20,460,736,9,64,59,2,1,126,190,9,2,2,3,166.166666666667
687,1763,1,63,283,130,9,249,8,2,1,1,71,181,2,2,3,195.133333333333
691,415,209,23,167,193,2,199,34,2,2,160,15,98,2,2,1,4.88333333333333
695,415,209,23,167,193,9,199,34,2,2,160,15,98,2,2,1,4.88333333333333
697,3299,215,65,353,734,2,166,46,2,1,87,124,45,2,2,3,165.016666666667
703,3299,215,21,353,199,9,166,46,2,1,87,124,45,2,2,3,165.016666666667
706,1504,1,13,480,348,8,6,11,2,1,1,186,38,2,2,3,170.766666666667
709,1504,1,63,480,13,8,6,11,2,1,1,186,38,2,2,3,170.766666666667
710,1504,1,63,480,225,8,6,11,2,1,1,186,38,2,2,3,170.766666666667
717,11,215,65,353,30,5,166,46,2,1,87,124,45,2,2,3,219.7
731,1806,76,20,353,736,5,64,59,2,1,24,87,188,2,2,3,580.266666666667
739,1806,76,20,353,736,2,64,59,2,1,24,87,188,2,2,3,580.266666666667
741,1806,76,20,353,736,9,64,59,2,1,24,87,188,2,2,3,580.266666666667
742,1806,76,20,353,763,7,64,59,1,1,24,87,188,1,2,3,580.266666666667
745,3287,1,23,283,315,8,199,34,2,1,185,54,45,2,2,4,580.066666666667
755,3287,1,33,283,560,9,199,34,2,1,185,54,45,2,2,4,580.066666666667
762,3888,123,16,353,763,7,68,46,1,1,87,124,219,1,2,3,217.4
766,3537,39,48,1,383,2,183,37,2,1,77,135,181,2,2,3,121.2
772,4775,1,65,18,763,7,6,11,1,1,1,186,9,2,2,3,156.166666666667
775,4521,1,65,480,225,8,28,11,2,1,1,87,9,2,2,3,579.833333333333
796,5235,89,33,1,560,9,199,34,2,1,55,117,181,2,2,3,140.1
797,5235,89,33,1,763,7,199,34,1,1,55,117,181,2,2,3,140.1
803,4910,215,21,1,763,7,33,46,1,1,126,190,45,2,2,3,166.083333333333
805,3994,1,65,1,606,8,122,37,2,1,1,186,38,2,2,3,155.066666666667
810,2311,1,65,353,734,2,166,46,2,1,87,124,45,2,2,3,195.066666666667
816,4990,54,65,353,763,7,122,37,1,1,1,87,106,2,2,3,121.016666666667
821,174,31,65,364,229,2,28,11,2,1,103,167,45,2,2,4,163.933333333333
822,174,31,65,364,229,2,28,11,2,1,103,167,45,2,2,4,163.933333333333
824,174,145,21,364,783,2,28,11,2,1,103,167,45,2,2,4,163.933333333333
829,5013,196,18,283,108,8,28,11,2,1,9,63,106,2,2,3,579.733333333333
843,5013,196,18,283,31,2,28,11,2,1,9,63,106,2,2,3,579.733333333333
845,5013,196,18,283,31,9,28,11,2,1,9,63,106,2,2,3,579.733333333333
846,5013,196,18,283,37,9,28,11,2,1,9,63,106,2,2,3,579.733333333333
850,2890,207,16,96,135,5,195,4,2,1,185,54,219,2,2,3,211.85
855,2890,207,16,96,135,5,195,4,2,1,185,54,219,2,2,3,211.75
857,2890,207,16,96,135,9,195,4,2,1,185,54,219,2,2,3,211.75
869,2890,1,48,283,714,9,183,37,2,1,185,54,219,2,2,3,141.633333333333
875,3720,123,16,1,686,2,173,27,2,1,123,186,219,2,2,3,645.6
877,3720,123,16,1,135,5,173,27,2,1,123,186,219,2,2,3,645.6
891,2890,207,16,283,135,5,68,46,2,1,185,54,219,2,2,3,193.583333333333
901,4920,215,21,283,428,5,68,46,2,1,185,54,45,2,2,3,216.533333333333
904,4920,215,21,283,763,7,68,46,1,1,185,54,45,1,2,3,216.533333333333
906,3287,1,47,283,728,8,191,14,2,1,126,190,45,2,2,3,170.533333333333
914,2797,80,60,1,763,2,120,37,2,1,1,135,106,2,2,4,143.45
920,5235,187,67,1,499,2,191,14,2,1,1,117,181,2,2,3,579.05
934,2126,80,60,1,574,9,120,37,2,2,1,135,106,2,2,4,790.266666666667
936,1506,219,18,387,30,8,38,29,2,1,126,190,106,2,2,3,169.266666666667
940,1506,219,39,387,763,7,38,29,1,1,126,190,106,2,2,3,169.266666666667
951,2797,110,60,1,763,7,120,37,1,1,1,135,106,1,2,4,579.166666666667
954,264,1,21,480,446,2,199,34,2,1,24,87,45,2,2,3,579.15
962,264,1,21,480,199,2,199,34,2,1,24,87,45,2,2,3,579.15
966,264,215,21,480,199,9,199,34,2,1,24,87,45,2,2,3,579.15
970,3282,110,60,1,574,5,120,37,2,1,1,135,106,2,2,4,579.116666666667
975,5033,1,65,489,258,2,76,17,2,1,1,186,115,2,2,3,578.783333333333
983,5033,1,65,489,108,2,76,17,2,1,1,186,115,2,2,3,578.783333333333
987,5033,1,65,489,30,5,76,17,2,1,1,186,115,2,2,3,578.783333333333
989,5033,171,65,489,763,7,76,17,1,1,1,186,115,1,2,3,578.783333333333
1005,2144,1,16,1,585,8,64,17,2,1,55,117,181,2,2,3,121.8
1022,2978,1,1,480,521,8,64,15,2,1,24,87,219,2,2,3,145.716666666667
1024,2978,1,16,480,664,8,64,15,2,1,24,87,219,2,2,3,145.716666666667
1049,2126,110,60,1,659,9,120,37,2,1,1,135,106,2,2,4,624.583333333333
1050,2126,110,60,1,763,7,120,37,1,1,1,135,106,1,2,4,624.583333333333
1054,2144,1,65,1,763,7,64,59,1,1,1,117,181,2,2,3,120.55
1057,4831,90,24,283,579,2,59,54,2,1,185,54,181,2,2,3,188.5
1089,4975,35,46,1,585,8,1,1,2,1,55,117,181,2,2,3,578.033333333333
1094,4975,35,47,283,728,5,196,46,2,1,55,117,181,2,2,3,578.033333333333
1100,548,88,25,206,557,9,246,37,2,2,47,114,149,2,2,4,790.233333333333
1104,4856,1,33,107,763,7,10,35,1,1,123,186,43,2,2,3,138.2
1105,3408,108,24,513,585,8,38,29,2,1,55,117,181,2,2,1,137.116666666667
1107,3408,108,24,515,647,2,38,29,2,2,55,117,181,2,2,1,137.116666666667
1115,2837,88,25,219,557,9,246,37,2,2,47,114,106,2,2,4,817.1
1117,1326,169,22,487,315,2,6,11,2,1,185,54,165,2,2,3,208.1
1122,3366,64,27,9,484,5,55,58,2,1,36,98,136,2,2,4,577.916666666667
1128,4251,92,65,1,585,9,248,24,2,1,1,117,181,2,2,3,121.016666666667
1137,2119,1,67,480,763,8,59,54,2,1,1,186,181,2,2,3,577.416666666667
1142,2899,1,16,96,315,2,76,17,2,1,185,54,219,2,2,4,120.7
1155,3598,31,65,1,763,7,10,35,1,1,1,117,45,2,2,3,185.5
1163,588,1,71,487,812,5,30,46,2,1,1,54,61,2,2,3,784.466666666667
1164,588,151,71,487,812,9,30,46,2,2,1,54,61,2,1,3,784.466666666667
1167,1513,123,16,1,135,8,64,15,2,1,123,186,219,2,2,3,577.033333333333
1172,1513,123,16,1,686,5,64,15,2,1,123,186,219,2,2,3,577.033333333333
1175,1070,124,27,96,315,8,251,37,2,1,185,54,106,2,2,3,647.266666666667
1187,3543,145,21,480,763,7,64,59,1,1,123,186,45,2,2,3,163.15
1191,3307,81,53,1,763,7,128,37,1,1,55,117,219,2,2,3,137.1
1192,4271,123,16,1,31,8,64,15,2,1,127,188,219,2,2,3,168.9
1193,4271,123,13,1,135,8,64,15,2,1,127,188,219,2,2,3,168.9
1205,1035,1,65,283,728,2,210,32,2,1,1,42,98,2,2,3,576.65
1214,1035,1,65,283,105,5,210,32,2,1,1,42,98,2,2,3,576.65
1216,1035,75,65,283,763,7,210,32,1,1,1,42,98,1,2,3,576.65
1225,1050,1,65,96,815,2,49,37,2,1,1,54,106,2,2,3,576.45
1230,1050,18,65,96,105,5,49,37,2,1,1,54,106,2,2,3,576.45
1232,1050,18,65,96,610,5,49,37,2,1,1,54,106,2,2,3,576.45
1237,4846,1,16,450,156,8,64,15,2,1,123,186,219,2,2,3,143.366666666667
1240,4846,1,16,450,135,9,64,15,2,1,123,186,219,2,2,3,143.366666666667
1250,313,158,17,1,827,2,114,32,2,1,55,117,61,2,2,3,575.866666666667
1255,313,158,17,1,136,9,114,32,2,1,55,117,61,2,2,3,575.866666666667
1260,313,158,17,1,827,5,114,32,2,1,55,117,61,2,2,3,575.866666666667
1261,313,158,17,1,827,2,114,32,2,1,55,117,61,2,2,3,575.866666666667
1266,1590,108,24,1,647,9,62,26,2,2,55,117,181,2,2,3,184.116666666667
1271,294,135,18,409,721,2,86,48,2,1,185,54,106,2,2,3,575.4
1277,294,135,18,409,763,7,86,48,1,1,185,54,106,1,2,3,575.4
1280,3316,29,18,1,325,2,196,46,2,1,8,61,106,2,2,3,667.383333333333
1290,1765,70,55,19,318,8,182,9,2,1,26,88,45,2,2,1,722.45
1291,1765,70,55,19,318,2,182,9,2,1,26,88,45,2,2,1,722.45
1296,1257,1,17,1,347,9,64,59,2,1,26,88,61,2,2,3,121
1297,1257,1,17,1,763,7,64,59,1,1,26,88,61,2,2,3,121
1299,4411,99,60,1,659,5,120,37,2,1,1,135,106,2,2,3,180.266666666667
1307,1257,1,49,1,763,7,239,46,1,1,26,88,61,2,2,3,144.1
1308,678,202,4,81,347,8,128,37,2,1,8,61,52,2,2,3,470.666666666667
1318,678,202,50,127,59,8,128,37,2,2,8,61,80,2,2,1,470.666666666667
1320,678,202,7,127,150,9,128,37,2,2,8,61,80,2,2,1,470.666666666667
1325,678,202,7,127,763,7,128,37,1,2,8,61,80,1,2,1,470.666666666667
1329,4063,1,65,1,763,7,114,32,1,1,1,88,45,2,2,3,120.4
1332,5075,1,18,450,451,8,64,59,2,1,1,88,106,2,2,3,570.1
1333,5075,1,18,450,108,8,64,59,2,1,1,88,106,2,2,3,570.1
1339,5075,1,1,450,446,5,196,46,2,1,1,88,106,2,2,3,570.1
1344,1182,211,41,1,200,8,26,29,2,1,79,141,45,2,2,3,637.616666666667
1360,5170,158,17,283,827,8,34,46,2,1,79,141,61,2,2,3,128.4
1366,5170,124,27,1,716,5,251,37,2,1,79,141,61,2,2,3,153.3
1368,5170,124,27,1,763,7,251,37,1,1,79,141,61,2,2,3,153.3
1370,2223,211,41,387,734,2,26,29,2,1,79,141,45,2,2,3,637.166666666667
1375,1387,158,17,1,827,2,38,29,2,1,79,141,61,2,2,3,151.5
1377,1387,158,17,1,827,5,38,29,2,1,79,141,61,2,2,3,151.5
1382,1960,1,49,1,763,8,64,56,2,1,1,141,45,2,2,3,127.066666666667
1384,1960,1,49,1,589,8,64,56,2,1,1,141,45,2,2,3,127.066666666667
1389,1960,1,59,1,589,8,64,56,2,1,1,141,45,2,2,3,127.066666666667
1391,1960,105,59,1,623,2,64,56,2,1,1,141,45,2,2,3,127.066666666667
1396,3627,1,65,1,664,2,114,32,2,1,1,120,28,2,2,3,121.05
1399,3627,115,65,1,664,9,114,32,2,1,1,120,28,2,2,3,121.05
1406,2658,1,59,355,108,8,64,59,2,1,1,36,106,2,2,3,563.9
1407,2658,1,47,355,623,8,64,59,2,1,1,36,106,2,2,3,563.9
1408,2658,1,47,355,728,8,64,59,2,1,1,36,106,2,2,3,563.9
1421,5113,1,59,489,610,8,71,48,2,1,1,16,61,2,2,3,171.85
1425,293,137,65,480,229,8,235,14,2,1,172,36,184,2,2,3,202.3
1427,293,137,47,480,606,8,235,14,2,1,172,36,184,2,2,3,202.3
1449,818,1,47,283,606,8,68,46,2,1,156,16,45,2,2,3,154
1465,2575,105,59,209,623,9,71,48,2,1,1,16,106,2,2,3,170.833333333333
1468,50,135,18,283,610,8,149,44,2,1,172,36,106,2,2,2,561.683333333333
1470,50,135,18,283,721,2,149,44,2,1,172,36,106,2,2,2,561.683333333333
1480,2068,145,21,460,557,8,52,46,2,1,103,167,45,2,2,3,177.65
1482,2068,145,21,460,783,9,52,46,2,1,103,167,45,2,2,3,177.65
1483,2068,145,21,460,763,7,52,46,1,1,103,167,45,2,2,3,177.65
1485,1609,1,36,283,469,8,8,35,2,1,25,62,29,2,2,3,177.55
1495,3651,211,41,407,763,7,26,29,1,2,156,16,45,1,2,4,630.516666666667
1503,1373,1,65,283,589,9,248,24,2,1,1,36,9,2,2,3,175.5
1504,1373,1,65,283,763,7,248,24,1,1,1,36,9,2,2,3,175.5
1505,3537,122,48,1,659,8,183,37,2,1,77,135,181,2,2,3,122.416666666667
1508,3537,122,48,1,714,9,183,37,2,1,77,135,181,2,2,3,122.416666666667
1522,818,145,21,353,229,8,6,11,2,1,172,36,45,2,2,3,147.383333333333
1523,818,145,21,353,783,2,6,11,2,1,172,36,45,2,2,3,147.383333333333
1531,1121,1,18,480,345,9,28,11,2,1,25,62,106,2,2,3,173.333333333333
1532,1121,1,18,480,763,7,28,11,1,1,25,62,106,2,2,3,173.333333333333
1537,1009,171,65,353,734,2,166,46,2,1,87,124,106,2,2,3,561.233333333333
1544,1009,34,65,367,409,5,10,35,2,1,87,124,106,2,2,3,561.233333333333
1549,1009,171,1,367,763,7,10,35,1,1,87,124,106,1,2,3,561.233333333333
1555,1420,1,54,34,472,8,206,9,2,1,156,16,9,2,2,3,199.2
1559,1420,1,54,34,763,7,206,9,1,1,156,16,9,2,2,3,199.2
1566,2255,1,60,463,659,9,17,46,2,1,1,124,61,2,2,3,131.116666666667
1573,1389,103,68,209,763,7,64,54,1,1,1,16,106,2,2,4,170.116666666667
1574,3858,1,65,283,763,8,122,37,2,1,1,36,153,2,2,3,121.083333333333
1575,3858,1,65,283,229,9,122,37,2,1,1,36,153,2,2,3,121.083333333333
1579,3493,124,27,491,610,8,102,37,2,1,156,16,9,2,2,4,147.016666666667
1584,4883,172,65,491,229,8,64,59,2,1,172,36,9,2,2,3,126
1587,4883,172,20,491,32,2,64,59,2,1,172,36,9,2,2,3,126
1593,1223,1,65,283,606,9,235,14,2,1,1,36,106,2,2,3,136.966666666667
1599,4326,163,17,96,222,2,210,32,2,1,25,62,217,2,2,3,192.95
1600,4326,158,17,96,222,2,210,32,2,1,25,62,217,2,2,3,192.95
1606,3713,1,65,353,469,9,122,37,2,1,1,124,9,2,2,3,120.9
1607,3713,1,65,353,763,7,122,37,1,1,1,124,9,2,2,3,120.9
1616,152,196,18,515,108,4,90,29,2,1,156,16,106,2,2,3,171.833333333333
1618,152,196,18,515,763,7,90,29,1,1,156,16,106,2,2,3,171.833333333333
1619,3537,39,48,1,659,2,183,37,2,1,77,135,181,2,2,3,120.816666666667
1622,2941,1,65,480,763,8,191,14,2,1,1,36,70,2,2,3,622.766666666667
1630,2941,231,65,480,589,4,191,14,2,1,1,36,70,2,2,2,622.766666666667
1634,2941,1,71,480,664,4,191,14,2,1,1,36,70,2,2,2,622.766666666667
1636,2941,1,65,480,610,5,191,14,2,1,1,36,70,2,2,4,622.766666666667
1645,2941,75,65,480,469,9,191,14,2,2,1,36,70,2,2,4,622.766666666667
1647,2888,163,17,24,469,8,15,26,2,1,25,62,61,2,2,3,127.766666666667
1655,2888,163,17,24,763,7,15,26,1,1,25,62,61,2,2,3,127.766666666667
1657,2136,108,24,463,647,5,64,59,2,2,156,16,181,2,2,4,170.75
1661,4738,1,65,480,763,8,122,37,2,1,1,36,106,2,2,3,120.733333333333
1665,1550,29,65,1,229,8,237,46,2,1,172,36,106,2,2,3,560.366666666667
1667,1550,29,18,1,345,2,237,46,2,1,172,36,106,2,2,3,560.366666666667
1673,1471,114,25,114,795,2,123,34,2,1,108,172,106,2,2,3,194.683333333333
1679,2938,149,17,356,10,2,64,59,2,1,172,36,61,2,2,3,146.633333333333
1680,2938,149,17,356,10,5,64,59,2,1,172,36,61,2,2,3,146.633333333333
1683,2938,149,17,472,763,7,191,14,1,1,172,36,61,2,2,3,146.633333333333
1684,11,1,65,283,763,8,64,59,2,1,1,16,45,2,2,4,174.616666666667
1688,11,1,21,283,783,8,64,59,2,1,1,16,45,2,2,4,174.616666666667
1693,11,1,65,283,610,5,64,59,2,1,1,16,45,2,2,4,174.616666666667
1700,800,215,21,34,199,2,196,46,2,1,156,16,45,2,2,3,173.533333333333
1703,800,53,33,34,199,2,196,46,2,1,156,16,45,2,2,3,173.533333333333
1708,551,235,48,353,589,2,166,46,2,1,87,124,29,2,2,3,560.35
1718,3929,103,68,24,763,7,64,54,1,1,1,36,110,2,2,3,167.483333333333
1721,2729,1,16,1,135,9,68,46,2,1,172,36,219,2,2,3,126.4
